userId,itemId,rating,timestamp
5052052,80298,18398,1557801329
5052052,119276,61379,1557801329
5052052,15786,27748,1557801329
5052052,108921,22753,1557801329
5052052,65058,7167,1557801329
5052052,77716,80134,1557801329
5052052,128724,95723,1557801329
5052052,118624,32171,1557801329
5052052,143169,78339,1557801329
5052052,48723,75104,1557801329
5052052,128397,41475,1557801329
5052052,59933,66731,1557801329
5052052,136138,17249,1557801329
5052052,5643,14613,1557801329
5052052,51485,55455,1557801329
5052052,132126,12288,1557801329
5052052,17137,12553,1557801329
5052052,52464,76020,1557801329
5052052,89563,-954,1557801329
5052052,78131,14412,1557801329
5052052,80593,36860,1557801329
5052052,134215,16331,1557801329
5052052,78727,2804,1557801329
5052052,39386,28571,1557801329
5052052,117889,6372,1557801329
5052052,89478,14655,1557801329
5052052,86480,40058,1557801329
5052052,92597,16620,1557801329
5052052,21673,58765,1557801329
5052052,27523,37583,1557801329
5052052,112808,9198,1557801329
5052052,103754,61595,1557801329
5052052,75140,89139,1557801329
5052052,68805,29620,1557801329
5052052,37587,5484,1557801329
5052052,6232,6832,1557801329
5052052,132003,7464,1557801329
5052052,30373,18630,1557801329
5052052,39410,96709,1557801329
5052052,32406,67802,1557801329
5052052,144329,20054,1557801329
5052052,92229,54685,1557801329
5052052,23967,51699,1557801329
5052052,131234,41923,1557801329
5052052,7828,15853,1557801329
5052052,21923,90816,1557801329
5052052,122459,53024,1557801329
5052052,7617,33494,1557801329
5052052,95582,36272,1557801329
5052052,66517,40260,1557801329
5052052,63402,50878,1557801329
5052052,28790,45302,1557801329
5052052,111515,87415,1557801329
5052052,52847,87761,1557801329
5052052,56232,84954,1557801329
5052052,87439,81623,1557801329
5052052,54292,87797,1557801329
5052052,58559,9812,1557801329
5052052,78264,25223,1557801329
5052052,120252,27818,1557801329
5052052,93591,71862,1557801329
5052052,23751,15026,1557801329
5052052,47597,-439,1557801329
5052052,53372,24309,1557801329
5052052,25785,483,1557801329
5052052,24280,89798,1557801329
5052052,46879,60485,1557801329
5052052,118970,13303,1557801329
5052052,52528,28684,1557801329
5052052,54706,19440,1557801329
5052052,24094,69472,1557801329
5052052,59450,29718,1557801329
5052052,67148,43688,1557801329
5052052,106095,34343,1557801329
5052052,96247,89901,1557801329
5052052,21938,47703,1557801329
5052052,68234,25692,1557801329
5052052,11768,50057,1557801329
5052052,128670,74834,1557801329
5052052,58922,54,1557801329
5052052,75086,2835,1557801329
5052052,57430,48512,1557801329
5052052,120607,38575,1557801329
5052052,147471,68746,1557801329
